ISO3,Country,Region,Service Type,Year,Coverage,Service level
TZA,United Republic of Tanzania,Ruvuma,Drinking water,2012,55.70279,At least basic
TZA,United Republic of Tanzania,Ruvuma,Drinking water,2012,36.04157,Unimproved
TZA,United Republic of Tanzania,Ruvuma,Drinking water,2012,5.30793,Limited service
TZA,United Republic of Tanzania,Ruvuma,Sanitation,2012,23.33223,At least basic
TZA,United Republic of Tanzania,Ruvuma,Drinking water,2012,2.94771,Surface water
TZA,United Republic of Tanzania,Ruvuma,Sanitation,2012,0,Open defecation
TZA,United Republic of Tanzania,Ruvuma,Sanitation,2012,70.38619,Unimproved
TZA,United Republic of Tanzania,Shinyanga,Sanitation,2012,25.58995,At least basic
TZA,United Republic of Tanzania,Shinyanga,Drinking water,2012,8.62801,Limited service
TZA,United Republic of Tanzania,Shinyanga,Sanitation,2012,29.15687,Open defecation
TZA,United Republic of Tanzania,Shinyanga,Drinking water,2012,38.59569,Unimproved
TZA,United Republic of Tanzania,Shinyanga,Drinking water,2012,32.05735,Surface water
TZA,United Republic of Tanzania,Shinyanga,Drinking water,2012,20.71896,At least basic
TZA,United Republic of Tanzania,Shinyanga,Sanitation,2012,7.85414,Limited service
TZA,United Republic of Tanzania,Shinyanga,Sanitation,2012,37.39904,Unimproved
TZA,United Republic of Tanzania,Simiyu,Sanitation,2012,25.40045,Open defecation
TZA,United Republic of Tanzania,Simiyu,Drinking water,2012,19.29293,Unimproved
TZA,United Republic of Tanzania,Simiyu,Sanitation,2012,11.24006,At least basic
TZA,United Republic of Tanzania,Simiyu,Drinking water,2012,21.78595,Limited service
TZA,United Republic of Tanzania,Simiyu,Sanitation,2012,0.82979,Limited service
TZA,United Republic of Tanzania,Simiyu,Drinking water,2012,32.54311,At least basic
TZA,United Republic of Tanzania,Simiyu,Sanitation,2012,62.5297,Unimproved
TZA,United Republic of Tanzania,Simiyu,Drinking water,2012,26.37801,Surface water
TZA,United Republic of Tanzania,Singida,Drinking water,2012,56.25488,Unimproved
TZA,United Republic of Tanzania,Singida,Drinking water,2012,7.55474,Limited service
TZA,United Republic of Tanzania,Singida,Sanitation,2012,63.88289,Unimproved
TZA,United Republic of Tanzania,Singida,Sanitation,2012,7.03958,Limited service
TZA,United Republic of Tanzania,Singida,Sanitation,2012,18.93073,Open defecation
TZA,United Republic of Tanzania,Singida,Drinking water,2012,20.32254,At least basic
TZA,United Republic of Tanzania,Singida,Sanitation,2012,10.1468,At least basic
TZA,United Republic of Tanzania,Singida,Drinking water,2012,15.86784,Surface water
TZA,United Republic of Tanzania,Tabora,Sanitation,2012,6.74538,Limited service
TZA,United Republic of Tanzania,Tabora,Sanitation,2012,13.12418,Open defecation
TZA,United Republic of Tanzania,Tabora,Drinking water,2012,65.76373,Unimproved
TZA,United Republic of Tanzania,Tabora,Sanitation,2012,29.86007,At least basic
TZA,United Republic of Tanzania,Tabora,Drinking water,2012,1.74007,Surface water
TZA,United Republic of Tanzania,Tabora,Sanitation,2012,50.27037,Unimproved
TZA,United Republic of Tanzania,Tabora,Drinking water,2012,6.88919,Limited service
TZA,United Republic of Tanzania,Tabora,Drinking water,2012,25.60701,At least basic
TZA,United Republic of Tanzania,Tanga,Drinking water,2012,12.90976,Unimproved
TZA,United Republic of Tanzania,Tanga,Drinking water,2012,40.38309,Surface water
TZA,United Republic of Tanzania,Tanga,Sanitation,2012,23.60027,Open defecation
TZA,United Republic of Tanzania,Tanga,Drinking water,2012,10.32228,Limited service
TZA,United Republic of Tanzania,Tanga,Sanitation,2012,12.00611,Limited service
TZA,United Republic of Tanzania,Tanga,Drinking water,2012,36.38487,At least basic
TZA,United Republic of Tanzania,Tanga,Sanitation,2012,31.03697,At least basic
TZA,United Republic of Tanzania,Tanga,Sanitation,2012,33.35666,Unimproved
TZA,United Republic of Tanzania,Arusha,Sanitation,2016,18.35768,Limited service
TZA,United Republic of Tanzania,Arusha,Sanitation,2016,25.2522,At least basic
TZA,United Republic of Tanzania,Arusha,Hygiene,2016,28.48969,Limited service
TZA,United Republic of Tanzania,Arusha,Sanitation,2016,19.269,Open defecation
TZA,United Republic of Tanzania,Arusha,Hygiene,2016,44.18508,Basic service
TZA,United Republic of Tanzania,Arusha,Hygiene,2016,27.32523,No handwashing facility
TZA,United Republic of Tanzania,Arusha,Sanitation,2016,37.12112,Unimproved
TZA,United Republic of Tanzania,Arusha,Drinking water,2016,22.85539,Limited service
TZA,United Republic of Tanzania,Arusha,Drinking water,2016,7.42625,Unimproved
TZA,United Republic of Tanzania,Arusha,Drinking water,2016,58.28709,At least basic
TZA,United Republic of Tanzania,Arusha,Drinking water,2016,11.43127,Surface water
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2016,0.02435,Open defecation
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2016,39.11605,Limited service
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2016,89.92259,At least basic
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2016,2.06619,Unimproved
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2016,0,Surface water
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2016,8.01122,Limited service
TZA,United Republic of Tanzania,Dar Es Salaam,Hygiene,2016,81.49846,Basic service
TZA,United Republic of Tanzania,Dar Es Salaam,Hygiene,2016,10.42857,Limited service
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2016,54.72797,At least basic
TZA,United Republic of Tanzania,Dar Es Salaam,Hygiene,2016,8.07297,No handwashing facility
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2016,6.13163,Unimproved
TZA,United Republic of Tanzania,Dodoma,Drinking water,2016,18.20731,Limited service
TZA,United Republic of Tanzania,Dodoma,Hygiene,2016,73.60122,Limited service
TZA,United Republic of Tanzania,Dodoma,Sanitation,2016,76.25918,Unimproved
TZA,United Republic of Tanzania,Dodoma,Sanitation,2016,10.90026,At least basic
TZA,United Republic of Tanzania,Dodoma,Hygiene,2016,13.85287,No handwashing facility
TZA,United Republic of Tanzania,Dodoma,Drinking water,2016,33.71009,Unimproved
TZA,United Republic of Tanzania,Dodoma,Sanitation,2016,5.9514,Limited service
TZA,United Republic of Tanzania,Dodoma,Drinking water,2016,47.78264,At least basic
TZA,United Republic of Tanzania,Dodoma,Drinking water,2016,0.29996,Surface water
TZA,United Republic of Tanzania,Dodoma,Hygiene,2016,12.5459,Basic service
TZA,United Republic of Tanzania,Dodoma,Sanitation,2016,6.88917,Open defecation
TZA,United Republic of Tanzania,Geita,Sanitation,2016,73.06179,Unimproved
TZA,United Republic of Tanzania,Geita,Sanitation,2016,9.68978,At least basic
TZA,United Republic of Tanzania,Geita,Sanitation,2016,6.41076,Limited service
TZA,United Republic of Tanzania,Geita,Hygiene,2016,73.03089,Limited service
